;COUNTRY;Machine;bayesian;spatial;statistic
189;Rwanda;0;0;0;0
190;Saudi Arabia;0;0;0;3
191;St. Pierre and Miquelon (France);0;0;0;0
192;St. Kitts and Nevis;0;0;0;0
193;Seychelles;0;0;0;0
194;South Africa;0;0;0;4
195;Senegal;0;0;0;0
196;St. Helena (UK);0;0;0;0
197;Slovenia;0;0;0;0
198;Sierra Leone;0;0;0;0
199;San Marino;0;0;0;0
200;Singapore;0;2;0;0
201;Somalia;0;0;0;0
202;Spain;1;5;0;20
203;Serbia;0;0;0;0
204;St. Lucia;0;0;0;0
205;Sudan;0;0;0;0
206;Svalbard (Norway);0;0;0;0
207;Sweden;2;1;1;3
208;South Georgia and the South Sandwich Is (UK);0;0;0;0
209;Syria;0;0;0;0
210;Switzerland;1;0;0;4
211;United Arab Emirates;0;0;0;2
212;Trinidad and Tobago;0;0;0;0
213;Thailand;0;0;0;1
214;Tajikistan;0;0;0;0
215;Turks and Caicos Islands (UK);0;0;0;0
216;Tokelau (New Zealand);0;0;0;0
217;Tonga;0;0;0;0
218;Togo;0;0;0;0
219;Sao Tome and Principe;0;0;0;0
220;Tunisia;0;0;0;1
221;Turkey;2;1;0;22
222;Tuvalu;0;0;0;0
223;Taiwan;0;2;2;4
224;Turkmenistan;0;0;0;0
225;Tanzania;0;0;0;0
226;Uganda;0;0;0;0
227;United Kingdom;3;17;1;11
228;Ukraine;0;0;0;1
229;United States;82;73;22;95
230;Burkina Faso;0;0;0;0
231;Uruguay;0;0;0;0
232;Uzbekistan;0;0;0;0
233;St. Vincent and the Grenadines;0;0;0;0
234;Venezuela;0;0;0;0
235;British Virgin Islands(UK);0;0;0;0
236;Vietnam;0;0;0;0
237;American Virgin Islands (US);0;0;0;0
238;Namibia;0;0;0;0
239;Wallis and Futuna (France);0;0;0;0
240;Western Sahara;0;0;0;0
241;Wake Island (US);0;0;0;0
242;Western Samoa;0;0;0;0
243;Swaziland;0;0;0;0
244;Yemen;0;0;0;0
245;Zambia;0;0;0;0
246;Zimbabwe;0;0;0;0
247;South Sudan;0;0;0;0
248;Indonesia;0;0;1;2
249;East Timor;0;0;0;0
250;Curacao (Netherlands);0;0;0;0
251;Bonaire (Netherlands);0;0;0;0
